id,precinct,office,candidate,party,votes
3836,Amboy 1,Oswego County Family Court Judge (CON),Ballots,,4
3837,Amboy 1,Oswego County Family Court Judge (CON),Allison Nelson,,0
3838,Amboy 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,4
3839,Amboy 1,Oswego County Family Court Judge (CON),Write-ins,,0
3840,Amboy 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
3841,Boylston 1,Oswego County Family Court Judge (CON),,,
3842,Boylston 1,Oswego County Family Court Judge (CON),Ballots,,1
3843,Boylston 1,Oswego County Family Court Judge (CON),Allison Nelson,,0
3844,Boylston 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,1
3845,Boylston 1,Oswego County Family Court Judge (CON),Write-ins,,0
3846,Boylston 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
3847,Constantia 1,Oswego County Family Court Judge (CON),,,
3848,Constantia 1,Oswego County Family Court Judge (CON),Ballots,,1
3849,Constantia 1,Oswego County Family Court Judge (CON),Allison Nelson,,0
3850,Constantia 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,1
3851,Constantia 1,Oswego County Family Court Judge (CON),Write-ins,,0
3852,Constantia 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
3853,Constantia 2,Oswego County Family Court Judge (CON),,,
3854,Constantia 2,Oswego County Family Court Judge (CON),Ballots,,0
3855,Constantia 2,Oswego County Family Court Judge (CON),Allison Nelson,,0
3856,Constantia 2,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
3857,Constantia 2,Oswego County Family Court Judge (CON),Write-ins,,0
3858,Constantia 2,Oswego County Family Court Judge (CON),Voids/Blanks,,0
3859,Constantia 3,Oswego County Family Court Judge (CON),,,
3860,Constantia 3,Oswego County Family Court Judge (CON),Ballots,,2
3861,Constantia 3,Oswego County Family Court Judge (CON),Allison Nelson,,0
3862,Constantia 3,Oswego County Family Court Judge (CON),Thomas Benedetto,,2
3863,Constantia 3,Oswego County Family Court Judge (CON),Write-ins,,0
3864,Constantia 3,Oswego County Family Court Judge (CON),Voids/Blanks,,0
3865,Constantia 4,Oswego County Family Court Judge (CON),,,
3866,Constantia 4,Oswego County Family Court Judge (CON),Ballots,,2
3867,Constantia 4,Oswego County Family Court Judge (CON),Allison Nelson,,0
3868,Constantia 4,Oswego County Family Court Judge (CON),Thomas Benedetto,,2
3869,Constantia 4,Oswego County Family Court Judge (CON),Write-ins,,0
3870,Constantia 4,Oswego County Family Court Judge (CON),Voids/Blanks,,0
3871,Granby 1,Oswego County Family Court Judge (CON),,,
3872,Granby 1,Oswego County Family Court Judge (CON),Ballots,,2
3873,Granby 1,Oswego County Family Court Judge (CON),Allison Nelson,,1
3874,Granby 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,1
3875,Granby 1,Oswego County Family Court Judge (CON),Write-ins,,0
3876,Granby 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
3877,Granby 2,Oswego County Family Court Judge (CON),,,
3878,Granby 2,Oswego County Family Court Judge (CON),Ballots,,4
3879,Granby 2,Oswego County Family Court Judge (CON),Allison Nelson,,2
3880,Granby 2,Oswego County Family Court Judge (CON),Thomas Benedetto,,2
3881,Granby 2,Oswego County Family Court Judge (CON),Write-ins,,0
3882,Granby 2,Oswego County Family Court Judge (CON),Voids/Blanks,,0
3883,Granby 3,Oswego County Family Court Judge (CON),,,
3884,Granby 3,Oswego County Family Court Judge (CON),Ballots,,1
3885,Granby 3,Oswego County Family Court Judge (CON),Allison Nelson,,0
3886,Granby 3,Oswego County Family Court Judge (CON),Thomas Benedetto,,1
3887,Granby 3,Oswego County Family Court Judge (CON),Write-ins,,0
3888,Granby 3,Oswego County Family Court Judge (CON),Voids/Blanks,,0
3889,Granby 4,Oswego County Family Court Judge (CON),,,
3890,Granby 4,Oswego County Family Court Judge (CON),Ballots,,2
3891,Granby 4,Oswego County Family Court Judge (CON),Allison Nelson,,0
3892,Granby 4,Oswego County Family Court Judge (CON),Thomas Benedetto,,2
3893,Granby 4,Oswego County Family Court Judge (CON),Write-ins,,0
3894,Granby 4,Oswego County Family Court Judge (CON),Voids/Blanks,,0
3895,Granby 5,Oswego County Family Court Judge (CON),,,
3896,Granby 5,Oswego County Family Court Judge (CON),Ballots,,3
3897,Granby 5,Oswego County Family Court Judge (CON),Allison Nelson,,0
3898,Granby 5,Oswego County Family Court Judge (CON),Thomas Benedetto,,3
3899,Granby 5,Oswego County Family Court Judge (CON),Write-ins,,0
3900,Granby 5,Oswego County Family Court Judge (CON),Voids/Blanks,,0
3901,Hannibal 1,Oswego County Family Court Judge (CON),,,
3902,Hannibal 1,Oswego County Family Court Judge (CON),Ballots,,2
3903,Hannibal 1,Oswego County Family Court Judge (CON),Allison Nelson,,1
3904,Hannibal 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,1
3905,Hannibal 1,Oswego County Family Court Judge (CON),Write-ins,,0
3906,Hannibal 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
3907,Hannibal 2,Oswego County Family Court Judge (CON),,,
3908,Hannibal 2,Oswego County Family Court Judge (CON),Ballots,,5
3909,Hannibal 2,Oswego County Family Court Judge (CON),Allison Nelson,,1
3910,Hannibal 2,Oswego County Family Court Judge (CON),Thomas Benedetto,,4
3911,Hannibal 2,Oswego County Family Court Judge (CON),Write-ins,,0
3912,Hannibal 2,Oswego County Family Court Judge (CON),Voids/Blanks,,0
3913,Hannibal 3,Oswego County Family Court Judge (CON),,,
3914,Hannibal 3,Oswego County Family Court Judge (CON),Ballots,,9
3915,Hannibal 3,Oswego County Family Court Judge (CON),Allison Nelson,,0
3916,Hannibal 3,Oswego County Family Court Judge (CON),Thomas Benedetto,,9
3917,Hannibal 3,Oswego County Family Court Judge (CON),Write-ins,,0
3918,Hannibal 3,Oswego County Family Court Judge (CON),Voids/Blanks,,0
3919,Hannibal 4,Oswego County Family Court Judge (CON),,,
3920,Hannibal 4,Oswego County Family Court Judge (CON),Ballots,,13
3921,Hannibal 4,Oswego County Family Court Judge (CON),Allison Nelson,,1
3922,Hannibal 4,Oswego County Family Court Judge (CON),Thomas Benedetto,,12
3923,Hannibal 4,Oswego County Family Court Judge (CON),Write-ins,,0
3924,Hannibal 4,Oswego County Family Court Judge (CON),Voids/Blanks,,0
3925,Hastings 1,Oswego County Family Court Judge (CON),,,
3926,Hastings 1,Oswego County Family Court Judge (CON),Ballots,,1
3927,Hastings 1,Oswego County Family Court Judge (CON),Allison Nelson,,0
3928,Hastings 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,1
3929,Hastings 1,Oswego County Family Court Judge (CON),Write-ins,,0
3930,Hastings 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
3931,Hastings 2,Oswego County Family Court Judge (CON),,,
3932,Hastings 2,Oswego County Family Court Judge (CON),Ballots,,1
3933,Hastings 2,Oswego County Family Court Judge (CON),Allison Nelson,,1
3934,Hastings 2,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
3935,Hastings 2,Oswego County Family Court Judge (CON),Write-ins,,0
3936,Hastings 2,Oswego County Family Court Judge (CON),Voids/Blanks,,0
3937,Hastings 3,Oswego County Family Court Judge (CON),,,
3938,Hastings 3,Oswego County Family Court Judge (CON),Ballots,,9
3939,Hastings 3,Oswego County Family Court Judge (CON),Allison Nelson,,5
3940,Hastings 3,Oswego County Family Court Judge (CON),Thomas Benedetto,,4
3941,Hastings 3,Oswego County Family Court Judge (CON),Write-ins,,0
3942,Hastings 3,Oswego County Family Court Judge (CON),Voids/Blanks,,0
3943,Hastings 4,Oswego County Family Court Judge (CON),,,
3944,Hastings 4,Oswego County Family Court Judge (CON),Ballots,,5
3945,Hastings 4,Oswego County Family Court Judge (CON),Allison Nelson,,0
3946,Hastings 4,Oswego County Family Court Judge (CON),Thomas Benedetto,,5
3947,Hastings 4,Oswego County Family Court Judge (CON),Write-ins,,0
3948,Hastings 4,Oswego County Family Court Judge (CON),Voids/Blanks,,0
3949,Hastings 5,Oswego County Family Court Judge (CON),,,
3950,Hastings 5,Oswego County Family Court Judge (CON),Ballots,,5
3951,Hastings 5,Oswego County Family Court Judge (CON),Allison Nelson,,0
3952,Hastings 5,Oswego County Family Court Judge (CON),Thomas Benedetto,,3
3953,Hastings 5,Oswego County Family Court Judge (CON),Write-ins,,0
3954,Hastings 5,Oswego County Family Court Judge (CON),Voids/Blanks,,2
3955,Hastings 6,Oswego County Family Court Judge (CON),,,
3956,Hastings 6,Oswego County Family Court Judge (CON),Ballots,,0
3957,Hastings 6,Oswego County Family Court Judge (CON),Allison Nelson,,0
3958,Hastings 6,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
3959,Hastings 6,Oswego County Family Court Judge (CON),Write-ins,,0
3960,Hastings 6,Oswego County Family Court Judge (CON),Voids/Blanks,,0
3961,Hastings 7,Oswego County Family Court Judge (CON),,,
3962,Hastings 7,Oswego County Family Court Judge (CON),Ballots,,2
3963,Hastings 7,Oswego County Family Court Judge (CON),Allison Nelson,,1
3964,Hastings 7,Oswego County Family Court Judge (CON),Thomas Benedetto,,1
3965,Hastings 7,Oswego County Family Court Judge (CON),Write-ins,,0
3966,Hastings 7,Oswego County Family Court Judge (CON),Voids/Blanks,,0
3967,Hastings 8,Oswego County Family Court Judge (CON),,,
3968,Hastings 8,Oswego County Family Court Judge (CON),Ballots,,7
3969,Hastings 8,Oswego County Family Court Judge (CON),Allison Nelson,,2
3970,Hastings 8,Oswego County Family Court Judge (CON),Thomas Benedetto,,5
3971,Hastings 8,Oswego County Family Court Judge (CON),Write-ins,,0
3972,Hastings 8,Oswego County Family Court Judge (CON),Voids/Blanks,,0
3973,Mexico 1,Oswego County Family Court Judge (CON),,,
3974,Mexico 1,Oswego County Family Court Judge (CON),Ballots,,2
3975,Mexico 1,Oswego County Family Court Judge (CON),Allison Nelson,,1
3976,Mexico 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,1
3977,Mexico 1,Oswego County Family Court Judge (CON),Write-ins,,0
3978,Mexico 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
3979,Mexico 2,Oswego County Family Court Judge (CON),,,
3980,Mexico 2,Oswego County Family Court Judge (CON),Ballots,,4
3981,Mexico 2,Oswego County Family Court Judge (CON),Allison Nelson,,4
3982,Mexico 2,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
3983,Mexico 2,Oswego County Family Court Judge (CON),Write-ins,,0
3984,Mexico 2,Oswego County Family Court Judge (CON),Voids/Blanks,,0
3985,Mexico 3,Oswego County Family Court Judge (CON),,,
3986,Mexico 3,Oswego County Family Court Judge (CON),Ballots,,1
3987,Mexico 3,Oswego County Family Court Judge (CON),Allison Nelson,,1
3988,Mexico 3,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
3989,Mexico 3,Oswego County Family Court Judge (CON),Write-ins,,0
3990,Mexico 3,Oswego County Family Court Judge (CON),Voids/Blanks,,0
3991,Mexico 4,Oswego County Family Court Judge (CON),,,
3992,Mexico 4,Oswego County Family Court Judge (CON),Ballots,,3
3993,Mexico 4,Oswego County Family Court Judge (CON),Allison Nelson,,1
3994,Mexico 4,Oswego County Family Court Judge (CON),Thomas Benedetto,,2
3995,Mexico 4,Oswego County Family Court Judge (CON),Write-ins,,0
3996,Mexico 4,Oswego County Family Court Judge (CON),Voids/Blanks,,0
3997,Minetto 1,Oswego County Family Court Judge (CON),,,
3998,Minetto 1,Oswego County Family Court Judge (CON),Ballots,,2
3999,Minetto 1,Oswego County Family Court Judge (CON),Allison Nelson,,1
4000,Minetto 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,1
4001,Minetto 1,Oswego County Family Court Judge (CON),Write-ins,,0
4002,Minetto 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4003,Minetto 2,Oswego County Family Court Judge (CON),,,
4004,Minetto 2,Oswego County Family Court Judge (CON),Ballots,,1
4005,Minetto 2,Oswego County Family Court Judge (CON),Allison Nelson,,1
4006,Minetto 2,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4007,Minetto 2,Oswego County Family Court Judge (CON),Write-ins,,0
4008,Minetto 2,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4009,New Haven 1,Oswego County Family Court Judge (CON),,,
4010,New Haven 1,Oswego County Family Court Judge (CON),Ballots,,2
4011,New Haven 1,Oswego County Family Court Judge (CON),Allison Nelson,,0
4012,New Haven 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,2
4013,New Haven 1,Oswego County Family Court Judge (CON),Write-ins,,0
4014,New Haven 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4015,New Haven 2,Oswego County Family Court Judge (CON),,,
4016,New Haven 2,Oswego County Family Court Judge (CON),Ballots,,2
4017,New Haven 2,Oswego County Family Court Judge (CON),Allison Nelson,,1
4018,New Haven 2,Oswego County Family Court Judge (CON),Thomas Benedetto,,1
4019,New Haven 2,Oswego County Family Court Judge (CON),Write-ins,,0
4020,New Haven 2,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4021,New Haven 3,Oswego County Family Court Judge (CON),,,
4022,New Haven 3,Oswego County Family Court Judge (CON),Ballots,,0
4023,New Haven 3,Oswego County Family Court Judge (CON),Allison Nelson,,0
4024,New Haven 3,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4025,New Haven 3,Oswego County Family Court Judge (CON),Write-ins,,0
4026,New Haven 3,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4027,Orwell 1,Oswego County Family Court Judge (CON),,,
4028,Orwell 1,Oswego County Family Court Judge (CON),Ballots,,4
4029,Orwell 1,Oswego County Family Court Judge (CON),Allison Nelson,,1
4030,Orwell 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,3
4031,Orwell 1,Oswego County Family Court Judge (CON),Write-ins,,0
4032,Orwell 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4033,Oswego Town 1,Oswego County Family Court Judge (CON),,,
4034,Oswego Town 1,Oswego County Family Court Judge (CON),Ballots,,0
4035,Oswego Town 1,Oswego County Family Court Judge (CON),Allison Nelson,,0
4036,Oswego Town 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4037,Oswego Town 1,Oswego County Family Court Judge (CON),Write-ins,,0
4038,Oswego Town 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4039,Oswego Town 2,Oswego County Family Court Judge (CON),,,
4040,Oswego Town 2,Oswego County Family Court Judge (CON),Ballots,,0
4041,Oswego Town 2,Oswego County Family Court Judge (CON),Allison Nelson,,0
4042,Oswego Town 2,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4043,Oswego Town 2,Oswego County Family Court Judge (CON),Write-ins,,0
4044,Oswego Town 2,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4045,Oswego Town 3,Oswego County Family Court Judge (CON),,,
4046,Oswego Town 3,Oswego County Family Court Judge (CON),Ballots,,5
4047,Oswego Town 3,Oswego County Family Court Judge (CON),Allison Nelson,,4
4048,Oswego Town 3,Oswego County Family Court Judge (CON),Thomas Benedetto,,1
4049,Oswego Town 3,Oswego County Family Court Judge (CON),Write-ins,,0
4050,Oswego Town 3,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4051,Oswego Town 4,Oswego County Family Court Judge (CON),,,
4052,Oswego Town 4,Oswego County Family Court Judge (CON),Ballots,,3
4053,Oswego Town 4,Oswego County Family Court Judge (CON),Allison Nelson,,3
4054,Oswego Town 4,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4055,Oswego Town 4,Oswego County Family Court Judge (CON),Write-ins,,0
4056,Oswego Town 4,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4057,Oswego Town 5,Oswego County Family Court Judge (CON),,,
4058,Oswego Town 5,Oswego County Family Court Judge (CON),Ballots,,3
4059,Oswego Town 5,Oswego County Family Court Judge (CON),Allison Nelson,,2
4060,Oswego Town 5,Oswego County Family Court Judge (CON),Thomas Benedetto,,1
4061,Oswego Town 5,Oswego County Family Court Judge (CON),Write-ins,,0
4062,Oswego Town 5,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4063,Oswego Town 6,Oswego County Family Court Judge (CON),,,
4064,Oswego Town 6,Oswego County Family Court Judge (CON),Ballots,,3
4065,Oswego Town 6,Oswego County Family Court Judge (CON),Allison Nelson,,2
4066,Oswego Town 6,Oswego County Family Court Judge (CON),Thomas Benedetto,,1
4067,Oswego Town 6,Oswego County Family Court Judge (CON),Write-ins,,0
4068,Oswego Town 6,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4069,Oswego Town 7,Oswego County Family Court Judge (CON),,,
4070,Oswego Town 7,Oswego County Family Court Judge (CON),Ballots,,4
4071,Oswego Town 7,Oswego County Family Court Judge (CON),Allison Nelson,,3
4072,Oswego Town 7,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4073,Oswego Town 7,Oswego County Family Court Judge (CON),Write-ins,,0
4074,Oswego Town 7,Oswego County Family Court Judge (CON),Voids/Blanks,,1
4075,Palermo 1,Oswego County Family Court Judge (CON),,,
4076,Palermo 1,Oswego County Family Court Judge (CON),Ballots,,9
4077,Palermo 1,Oswego County Family Court Judge (CON),Allison Nelson,,0
4078,Palermo 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,9
4079,Palermo 1,Oswego County Family Court Judge (CON),Write-ins,,0
4080,Palermo 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4081,Palermo 2,Oswego County Family Court Judge (CON),,,
4082,Palermo 2,Oswego County Family Court Judge (CON),Ballots,,4
4083,Palermo 2,Oswego County Family Court Judge (CON),Allison Nelson,,0
4084,Palermo 2,Oswego County Family Court Judge (CON),Thomas Benedetto,,4
4085,Palermo 2,Oswego County Family Court Judge (CON),Write-ins,,0
4086,Palermo 2,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4087,Palermo 3,Oswego County Family Court Judge (CON),,,
4088,Palermo 3,Oswego County Family Court Judge (CON),Ballots,,2
4089,Palermo 3,Oswego County Family Court Judge (CON),Allison Nelson,,1
4090,Palermo 3,Oswego County Family Court Judge (CON),Thomas Benedetto,,1
4091,Palermo 3,Oswego County Family Court Judge (CON),Write-ins,,0
4092,Palermo 3,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4093,Palermo 4,Oswego County Family Court Judge (CON),,,
4094,Palermo 4,Oswego County Family Court Judge (CON),Ballots,,3
4095,Palermo 4,Oswego County Family Court Judge (CON),Allison Nelson,,0
4096,Palermo 4,Oswego County Family Court Judge (CON),Thomas Benedetto,,3
4097,Palermo 4,Oswego County Family Court Judge (CON),Write-ins,,0
4098,Palermo 4,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4099,Parish 1,Oswego County Family Court Judge (CON),,,
4100,Parish 1,Oswego County Family Court Judge (CON),Ballots,,4
4101,Parish 1,Oswego County Family Court Judge (CON),Allison Nelson,,0
4102,Parish 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,4
4103,Parish 1,Oswego County Family Court Judge (CON),Write-ins,,0
4104,Parish 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4105,Parish 2,Oswego County Family Court Judge (CON),,,
4106,Parish 2,Oswego County Family Court Judge (CON),Ballots,,6
4107,Parish 2,Oswego County Family Court Judge (CON),Allison Nelson,,3
4108,Parish 2,Oswego County Family Court Judge (CON),Thomas Benedetto,,3
4109,Parish 2,Oswego County Family Court Judge (CON),Write-ins,,0
4110,Parish 2,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4111,Redfield 1,Oswego County Family Court Judge (CON),,,
4112,Redfield 1,Oswego County Family Court Judge (CON),Ballots,,1
4113,Redfield 1,Oswego County Family Court Judge (CON),Allison Nelson,,0
4114,Redfield 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,1
4115,Redfield 1,Oswego County Family Court Judge (CON),Write-ins,,0
4116,Redfield 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4117,Richland 1,Oswego County Family Court Judge (CON),,,
4118,Richland 1,Oswego County Family Court Judge (CON),Ballots,,3
4119,Richland 1,Oswego County Family Court Judge (CON),Allison Nelson,,1
4120,Richland 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,2
4121,Richland 1,Oswego County Family Court Judge (CON),Write-ins,,0
4122,Richland 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4123,Richland 2,Oswego County Family Court Judge (CON),,,
4124,Richland 2,Oswego County Family Court Judge (CON),Ballots,,1
4125,Richland 2,Oswego County Family Court Judge (CON),Allison Nelson,,0
4126,Richland 2,Oswego County Family Court Judge (CON),Thomas Benedetto,,1
4127,Richland 2,Oswego County Family Court Judge (CON),Write-ins,,0
4128,Richland 2,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4129,Richland 3,Oswego County Family Court Judge (CON),,,
4130,Richland 3,Oswego County Family Court Judge (CON),Ballots,,0
4131,Richland 3,Oswego County Family Court Judge (CON),Allison Nelson,,0
4132,Richland 3,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4133,Richland 3,Oswego County Family Court Judge (CON),Write-ins,,0
4134,Richland 3,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4135,Richland 4,Oswego County Family Court Judge (CON),,,
4136,Richland 4,Oswego County Family Court Judge (CON),Ballots,,2
4137,Richland 4,Oswego County Family Court Judge (CON),Allison Nelson,,0
4138,Richland 4,Oswego County Family Court Judge (CON),Thomas Benedetto,,2
4139,Richland 4,Oswego County Family Court Judge (CON),Write-ins,,0
4140,Richland 4,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4141,Richland 5,Oswego County Family Court Judge (CON),,,
4142,Richland 5,Oswego County Family Court Judge (CON),Ballots,,0
4143,Richland 5,Oswego County Family Court Judge (CON),Allison Nelson,,0
4144,Richland 5,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4145,Richland 5,Oswego County Family Court Judge (CON),Write-ins,,0
4146,Richland 5,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4147,Richland 6,Oswego County Family Court Judge (CON),,,
4148,Richland 6,Oswego County Family Court Judge (CON),Ballots,,2
4149,Richland 6,Oswego County Family Court Judge (CON),Allison Nelson,,0
4150,Richland 6,Oswego County Family Court Judge (CON),Thomas Benedetto,,2
4151,Richland 6,Oswego County Family Court Judge (CON),Write-ins,,0
4152,Richland 6,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4153,Sandy Creek 1,Oswego County Family Court Judge (CON),,,
4154,Sandy Creek 1,Oswego County Family Court Judge (CON),Ballots,,0
4155,Sandy Creek 1,Oswego County Family Court Judge (CON),Allison Nelson,,0
4156,Sandy Creek 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4157,Sandy Creek 1,Oswego County Family Court Judge (CON),Write-ins,,0
4158,Sandy Creek 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4159,Sandy Creek 2,Oswego County Family Court Judge (CON),,,
4160,Sandy Creek 2,Oswego County Family Court Judge (CON),Ballots,,3
4161,Sandy Creek 2,Oswego County Family Court Judge (CON),Allison Nelson,,1
4162,Sandy Creek 2,Oswego County Family Court Judge (CON),Thomas Benedetto,,2
4163,Sandy Creek 2,Oswego County Family Court Judge (CON),Write-ins,,0
4164,Sandy Creek 2,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4165,Sandy Creek 3,Oswego County Family Court Judge (CON),,,
4166,Sandy Creek 3,Oswego County Family Court Judge (CON),Ballots,,0
4167,Sandy Creek 3,Oswego County Family Court Judge (CON),Allison Nelson,,0
4168,Sandy Creek 3,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4169,Sandy Creek 3,Oswego County Family Court Judge (CON),Write-ins,,0
4170,Sandy Creek 3,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4171,Schroeppel 1,Oswego County Family Court Judge (CON),,,
4172,Schroeppel 1,Oswego County Family Court Judge (CON),Ballots,,0
4173,Schroeppel 1,Oswego County Family Court Judge (CON),Allison Nelson,,0
4174,Schroeppel 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4175,Schroeppel 1,Oswego County Family Court Judge (CON),Write-ins,,0
4176,Schroeppel 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4177,Schroeppel 2,Oswego County Family Court Judge (CON),,,
4178,Schroeppel 2,Oswego County Family Court Judge (CON),Ballots,,1
4179,Schroeppel 2,Oswego County Family Court Judge (CON),Allison Nelson,,0
4180,Schroeppel 2,Oswego County Family Court Judge (CON),Thomas Benedetto,,1
4181,Schroeppel 2,Oswego County Family Court Judge (CON),Write-ins,,0
4182,Schroeppel 2,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4183,Schroeppel 3,Oswego County Family Court Judge (CON),,,
4184,Schroeppel 3,Oswego County Family Court Judge (CON),Ballots,,1
4185,Schroeppel 3,Oswego County Family Court Judge (CON),Allison Nelson,,0
4186,Schroeppel 3,Oswego County Family Court Judge (CON),Thomas Benedetto,,1
4187,Schroeppel 3,Oswego County Family Court Judge (CON),Write-ins,,0
4188,Schroeppel 3,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4189,Schroeppel 4,Oswego County Family Court Judge (CON),,,
4190,Schroeppel 4,Oswego County Family Court Judge (CON),Ballots,,5
4191,Schroeppel 4,Oswego County Family Court Judge (CON),Allison Nelson,,3
4192,Schroeppel 4,Oswego County Family Court Judge (CON),Thomas Benedetto,,2
4193,Schroeppel 4,Oswego County Family Court Judge (CON),Write-ins,,0
4194,Schroeppel 4,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4195,Schroeppel 5,Oswego County Family Court Judge (CON),,,
4196,Schroeppel 5,Oswego County Family Court Judge (CON),Ballots,,7
4197,Schroeppel 5,Oswego County Family Court Judge (CON),Allison Nelson,,4
4198,Schroeppel 5,Oswego County Family Court Judge (CON),Thomas Benedetto,,2
4199,Schroeppel 5,Oswego County Family Court Judge (CON),Write-ins,,0
4200,Schroeppel 5,Oswego County Family Court Judge (CON),Voids/Blanks,,1
4201,Scriba 1,Oswego County Family Court Judge (CON),,,
4202,Scriba 1,Oswego County Family Court Judge (CON),Ballots,,5
4203,Scriba 1,Oswego County Family Court Judge (CON),Allison Nelson,,2
4204,Scriba 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,3
4205,Scriba 1,Oswego County Family Court Judge (CON),Write-ins,,0
4206,Scriba 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4207,Scriba 2,Oswego County Family Court Judge (CON),,,
4208,Scriba 2,Oswego County Family Court Judge (CON),Ballots,,4
4209,Scriba 2,Oswego County Family Court Judge (CON),Allison Nelson,,2
4210,Scriba 2,Oswego County Family Court Judge (CON),Thomas Benedetto,,2
4211,Scriba 2,Oswego County Family Court Judge (CON),Write-ins,,0
4212,Scriba 2,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4213,Scriba 3,Oswego County Family Court Judge (CON),,,
4214,Scriba 3,Oswego County Family Court Judge (CON),Ballots,,6
4215,Scriba 3,Oswego County Family Court Judge (CON),Allison Nelson,,4
4216,Scriba 3,Oswego County Family Court Judge (CON),Thomas Benedetto,,2
4217,Scriba 3,Oswego County Family Court Judge (CON),Write-ins,,0
4218,Scriba 3,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4219,Scriba 4,Oswego County Family Court Judge (CON),,,
4220,Scriba 4,Oswego County Family Court Judge (CON),Ballots,,0
4221,Scriba 4,Oswego County Family Court Judge (CON),Allison Nelson,,0
4222,Scriba 4,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4223,Scriba 4,Oswego County Family Court Judge (CON),Write-ins,,0
4224,Scriba 4,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4225,Scriba 5,Oswego County Family Court Judge (CON),,,
4226,Scriba 5,Oswego County Family Court Judge (CON),Ballots,,1
