Contest,Candidate Issue,Party,District Name,Total Votes,% of Total Votes
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of North Tonawanda 3/10 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of North Tonawanda 3/11 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of North Tonawanda 3/12 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Cambria 1,2,3,4 ",1,0.27
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Hartland 1,2,3 ",1,0.57
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Lewiston 1,2,3,10,11,12,13,14 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Lewiston 4,5,6,7,8,9 ",1,0.17
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Lockport 1,2,15, 16 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Lockport 3,4,5,10,11,12,13,14 ",1,0.14
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Lockport 6, 7, 8, 9 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Newfane 1,2,3,4,5,6,7,8 ",1,0.20
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Niagara 1,2,3,4,5,6,7 ",1,0.16
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Pendleton 1,2,3,4,5,6 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Porter 1,2,3,4,5,6 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Royalton 1,2,3,4,5,6 ",1,0.28
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Somerset 1, 2 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Wheatfield 1,2,3,4,6,7 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Wheatfield 5 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Wheatfield 8 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Wheatfield 9 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Wheatfield 10,11,12,13,14 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Wilson 1,2,3,4,5 ",1,0.26
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of Niagara Falls 3/1, 3/2, 3/3, 3/11 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of Niagara Falls 3/4, 3/5, 3/8 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of Niagara Falls 3/13 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of Niagara Falls 3/6, 3/7, 3/9, 3/10, 3/12 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of Niagara Falls 4/1 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of Niagara Falls 4/2, 4/4 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of Niagara Falls 4/3 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of Niagara Falls 4/5, 4/6, 4/7, 4/8 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of Niagara Falls 5/1, 5/2, 5/3 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of Niagara Falls 5/4 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of Niagara Falls 5/5, 5/6 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of Niagara Falls 6/1, 6/2 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of Niagara Falls 6/3, 6/4, 6/5, 6/8 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of Niagara Falls 6/6, 6/7 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of Niagara Falls 6/9, 6/10 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of Lockport 1/1, 1/2, 1/3, 1/4 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of Lockport 2/1, 2/2, 2/3, 2/4 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of Lockport 3/1, 3/2, 3/3 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of Lockport 4/1, 4/2, 4/3, 4/4 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of Lockport 5/1, 5/2, 5/3, 5/4 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of North Tonawanda 1/1, 1/2, 1/3, 1/8, 1/9, 1/10, 2/4, 2/6 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of North Tonawanda 1/4, 1/5, 1/6, 1/7 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of North Tonawanda 2/1, 2/2, 2/3, 2/5, 2/7, 2/8, 2/9, 2/10, 2/11 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5, 3/7, 3/8 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of North Tonawanda 3/6, 3/9, 3/10, 3/11, 3/12 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Cambria 1, 2, 3, 4 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Hartland 1, 2, 3 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Lewiston 1, 2, 3, 10, 11, 12, 13, 14 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Lewiston 4, 5, 6, 7, 8, 9 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Lockport 1, 2, 15, 16 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Lockport 3, 4, 5, 10, 11, 12, 13, 14 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Lockport 6, 7, 8, 9 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Newfane 1, 2, 3, 4, 5, 6, 7, 8 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Niagara 1, 2, 3, 4, 5, 6, 7 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Pendleton 1, 2, 3, 4, 5, 6 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Porter 1, 2, 3, 4, 5, 6 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Royalton 1, 2, 3, 4, 5, 6 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Somerset 1, 2 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Wheatfield 1, 2, 3, 4, 5, 6, 7, 8, 9 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Wheatfield 10, 11, 12, 13, 14 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Wilson 1, 2, 3, 4, 5 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of Niagara Falls 3/13 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of Lockport 1/1, 1/2, 1/3, 1/4 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of Lockport 2/1, 2/2, 2/3, 2/4 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of Lockport 3/1, 3/2, 3/3 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of Lockport 4/1, 4/2, 4/3, 4/4 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of Lockport 5/1, 5/2, 5/3, 5/4 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Cambria 1, 2, 3, 4 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Hartland 1, 2, 3 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Lewiston 1, 2, 3, 10, 11, 12, 13, 14 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Lewiston 4, 5, 6, 7, 8, 9 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Lockport 1, 2, 15, 16 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Lockport 3, 4, 5, 10, 11, 12, 13, 14 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Lockport 6, 7, 8, 9 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Newfane 1, 2, 3, 4, 5, 6, 7, 8 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Niagara 1, 2, 3, 4, 5, 6, 7 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Pendleton 1, 2, 3, 4, 5, 6 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Porter 1, 2, 3, 4, 5, 6 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Royalton 1, 2, 3, 4, 5, 6 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Somerset 1, 2 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Wheatfield 1, 2, 3, 4, 5, 6, 7, 8, 9 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Wheatfield 10, 11, 12, 13, 14 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Wilson 1, 2, 3, 4, 5 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of North Tonawanda 1/1, 1/2, 1/3, 1/8 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of North Tonawanda 1/10, 2/4, 2/6 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of North Tonawanda 1/1, 1/2, 1/3, 1/8, 1/9, 1/10, 2/4, 2/6 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of North Tonawanda 1/4, 1/5 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of North Tonawanda 1/6, 1/7 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5 ",1,0.41
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of North Tonawanda 3/7, 3/8 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of North Tonawanda 3/6, 3/9, 3/10, 3/11, 3/12 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of North Tonawanda 1/4, 1/5, 1/6, 1/7 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of North Tonawanda 2/1, 2/2, 2/3, 2/5, 2/7, 2/8, 2/9, 2/10, 2/11  ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5, 3/7, 3/8 ",0,0.00
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Wheatfield 1, 2, 3, 4, 5, 6, 7, 8, 9 ",1,0.11
COUNTY COURT JUDGE AND SURROGATE  - Democratic,Write-in,,"Town of Wheatfield 10, 11, 12, 13, 14 ",1,0.18
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Niagara Falls 3/1,3/2, 3/3, 3/11 ",92,23.17
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Niagara Falls 3/4, 3/5, 3/8 ",59,21.77
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Niagara Falls 3/13 ",12,28.57
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Niagara Falls 3/6, 3/7, 3/9, 3/10, 3/12 ",97,20.91
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Niagara Falls 4/1 ",46,33.58
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Niagara Falls 4/2, 4/4 ",36,23.08
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Niagara Falls 4/3 ",26,32.10
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Niagara Falls 4/5, 4/6, 4/7, 4/8 ",76,23.17
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Niagara Falls 5/1, 5/2, 5/3 ",72,18.75
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Niagara Falls 5/4 ",16,19.28
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Niagara Falls 5/5, 5/6 ",52,25.49
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Niagara Falls 6/1, 6/2 ",44,18.97
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Niagara Falls 6/3, 6/4, 6/5, 6/8 ",69,22.70
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Niagara Falls 6/6, 6/7 ",20,20.62
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Niagara Falls 6/9, 6/10 ",44,27.67
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Lockport 1/1, 1/2, 1/3, 1/4 ",87,34.25
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Lockport 2/1, 2/2, 2/3, 2/4 ",136,37.47
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Lockport 3/1, 3/2, 3/3 ",85,38.64
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Lockport 4/1, 4/2, 4/3, 4/4 ",94,36.29
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Lockport 5/1, 5/2, 5/3, 5/4 ",130,38.81
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 1/1 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 1/2 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 1/3 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 1/8 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 1/9 ",27,27.84
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 1/10 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 1/4 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 1/5 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 1/6 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 1/7 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 2/1 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 2/2 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 2/3 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 2/5 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 2/7 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 2/8 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 2/9 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 2/10 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 2/11 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 2/4 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 2/6 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 3/1 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 3/2 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 3/3 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 3/4 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 3/5 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 3/7 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 3/8 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 3/6 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 3/9 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 3/10 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 3/11 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 3/12 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Cambria 1,2,3,4 ",133,34.91
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Hartland 1,2,3 ",44,24.72
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Lewiston 1,2,3,10,11,12,13,14 ",195,22.13
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Lewiston 4,5,6,7,8,9 ",136,22.86
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Lockport 1,2,15, 16 ",75,24.35
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Lockport 3,4,5,10,11,12,13,14 ",230,32.90
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Lockport 6, 7, 8, 9 ",108,36.99
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Newfane 1,2,3,4,5,6,7,8 ",161,31.76
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Niagara 1,2,3,4,5,6,7 ",103,17.52
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Pendleton 1,2,3,4,5,6 ",158,34.50
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Porter 1,2,3,4,5,6 ",137,23.34
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Royalton 1,2,3,4,5,6 ",110,31.70
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Somerset 1, 2 ",24,22.02
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Wheatfield 1,2,3,4,6,7 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Wheatfield 5 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Wheatfield 8 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Wheatfield 9 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Wheatfield 10,11,12,13,14 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Wilson 1,2,3,4,5 ",84,22.58
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Niagara Falls 3/1, 3/2, 3/3, 3/11 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Niagara Falls 3/4, 3/5, 3/8 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Niagara Falls 3/13 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Niagara Falls 3/6, 3/7, 3/9, 3/10, 3/12 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Niagara Falls 4/1 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Niagara Falls 4/2, 4/4 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Niagara Falls 4/3 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Niagara Falls 4/5, 4/6, 4/7, 4/8 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Niagara Falls 5/1, 5/2, 5/3 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Niagara Falls 5/4 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Niagara Falls 5/5, 5/6 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Niagara Falls 6/1, 6/2 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Niagara Falls 6/3, 6/4, 6/5, 6/8 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Niagara Falls 6/6, 6/7 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Niagara Falls 6/9, 6/10 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Lockport 1/1, 1/2, 1/3, 1/4 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Lockport 2/1, 2/2, 2/3, 2/4 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Lockport 3/1, 3/2, 3/3 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Lockport 4/1, 4/2, 4/3, 4/4 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Lockport 5/1, 5/2, 5/3, 5/4 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 1/1, 1/2, 1/3, 1/8, 1/9, 1/10, 2/4, 2/6 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 1/4, 1/5, 1/6, 1/7 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 2/1, 2/2, 2/3, 2/5, 2/7, 2/8, 2/9, 2/10, 2/11 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5, 3/7, 3/8 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of North Tonawanda 3/6, 3/9, 3/10, 3/11, 3/12 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Cambria 1, 2, 3, 4 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Hartland 1, 2, 3 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Lewiston 1, 2, 3, 10, 11, 12, 13, 14 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Lewiston 4, 5, 6, 7, 8, 9 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Lockport 1, 2, 15, 16 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Lockport 3, 4, 5, 10, 11, 12, 13, 14 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Lockport 6, 7, 8, 9 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Newfane 1, 2, 3, 4, 5, 6, 7, 8 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Niagara 1, 2, 3, 4, 5, 6, 7 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Pendleton 1, 2, 3, 4, 5, 6 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Porter 1, 2, 3, 4, 5, 6 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Royalton 1, 2, 3, 4, 5, 6 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Somerset 1, 2 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Wheatfield 1, 2, 3, 4, 5, 6, 7, 8, 9 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Wheatfield 10, 11, 12, 13, 14 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Wilson 1, 2, 3, 4, 5 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Niagara Falls 3/13 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Lockport 1/1, 1/2, 1/3, 1/4 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Lockport 2/1, 2/2, 2/3, 2/4 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Lockport 3/1, 3/2, 3/3 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Lockport 4/1, 4/2, 4/3, 4/4 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"City of Lockport 5/1, 5/2, 5/3, 5/4 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Cambria 1, 2, 3, 4 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Hartland 1, 2, 3 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Lewiston 1, 2, 3, 10, 11, 12, 13, 14 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Lewiston 4, 5, 6, 7, 8, 9 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Lockport 1, 2, 15, 16 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Lockport 3, 4, 5, 10, 11, 12, 13, 14 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Lockport 6, 7, 8, 9 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Newfane 1, 2, 3, 4, 5, 6, 7, 8 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Niagara 1, 2, 3, 4, 5, 6, 7 ",0,0.00
SHERIFF   - Democratic,Brian D. GREAR,DMP,"Town of Pendleton 1, 2, 3, 4, 5, 6 ",0,0.00
